Group,Variables,Value
1,income,"800, 10000"
1,gas,"0, 5000"
1,know,"1, 7"
1,cee_aw,"1.2, 6.8"
1,ed_aw,"1, 7"
1,pn1,"1, 6.5"
1,pn2,"1, 6.5"
1,pn3,"1, 6.5"
1,sn1,"1, 6.5"
1,sn2,"1, 6.5"
1,sn3,"1, 6.5"
1,pbcI1,"1, 7"
1,pbcI2,"1, 7"
1,pbcI3,"1, 7"
1,pbcC1,"1, 7"
1,pbcC2,"1, 7"
1,pbcC3,"1, 7"
1,pbcS1,"1, 7"
1,pbcS2,"1, 7"
1,pbcS3,"1, 7"
1,ene_pat1,"0.25, 2.22"
1,ene_pat2,"0.25, 2.22"
1,ene_pat3,"0.25, 2.22"
1,erI1,"-0.03, -0.01"
1,erI2,"-0.02, -0.01"
1,erI3,"-0.04, -0.02"
1,erC1,"-0.04, -0.03"
1,erC2,"-0.06, -0.03"
1,erC3,"-0.04, -0.02"
1,erS1,"-0.01, 0"
1,erS2,"-0.02, -0.01"
1,erS3,"-0.01, -0.01"
2,income,"10001, 30000"
2,gas,"0, 5000"
2,know,"1, 7"
2,cee_aw,"1, 6.8"
2,ed_aw,"1.3, 7"
2,pn1,"2, 7"
2,pn2,"2, 7"
2,pn3,"2, 7"
2,sn1,"2, 7"
2,sn2,"2, 7"
2,sn3,"2, 7"
2,pbcI1,"1.4, 7"
2,pbcI2,"1.4, 7"
2,pbcI3,"1.4, 7"
2,pbcC1,"1, 7"
2,pbcC2,"1, 7"
2,pbcC3,"1, 7"
2,pbcS1,"1, 7"
2,pbcS2,"1, 7"
2,pbcS3,"1, 7"
2,ene_pat1,"0.25, 1.7"
2,ene_pat2,"0.25, 1.7"
2,ene_pat3,"0.25, 1.7"
2,erI1,"-0.03, -0.01"
2,erI2,"-0.02, -0.01"
2,erI3,"-0.04, -0.02"
2,erC1,"-0.05, -0.02"
2,erC2,"-0.06, -0.03"
2,erC3,"-0.04, -0.01"
2,erS1,"-0.01, 0"
2,erS2,"-0.02, -0.01"
2,erS3,"-0.01, -0.01"
3,income,"30001, 50000"
3,gas,"0, 5000"
3,know,"2.6, 7"
3,cee_aw,"2.71, 7"
3,ed_aw,"1.4, 7"
3,pn1,"1.5, 7"
3,pn2,"1.5, 7"
3,pn3,"1.5, 7"
3,sn1,"1, 7"
3,sn2,"1, 7"
3,sn3,"1, 7"
3,pbcI1,"2.2, 7"
3,pbcI2,"2.2, 7"
3,pbcI3,"2.2, 7"
3,pbcC1,"1, 7"
3,pbcC2,"1, 7"
3,pbcC3,"1, 7"
3,pbcS1,"1, 7"
3,pbcS2,"1, 7"
3,pbcS3,"1, 7"
3,ene_pat1,"0, 1.6"
3,ene_pat2,"0, 1.6"
3,ene_pat3,"0, 1.6"
3,erI1,"-0.03, -0.01"
3,erI2,"-0.02, 0"
3,erI3,"-0.05, -0.02"
3,erC1,"-0.05, -0.02"
3,erC2,"-0.06, -0.03"
3,erC3,"-0.04, -0.01"
3,erS1,"-0.01, -0.01"
3,erS2,"-0.02, -0.01"
3,erS3,"-0.01, -0.01"
4,income,"50001, 70000"
4,gas,"0, 5000"
4,know,"2.8, 6.6"
4,cee_aw,"3, 6.6"
4,ed_aw,"1.8, 7"
4,pn1,"2.5, 7"
4,pn2,"2.5, 7"
4,pn3,"2.5, 7"
4,sn1,"1.1, 7"
4,sn2,"1.1, 7"
4,sn3,"1.1, 7"
4,pbcI1,"2.2, 7"
4,pbcI2,"2.2, 7"
4,pbcI3,"2.2, 7"
4,pbcC1,"1, 7"
4,pbcC2,"1, 7"
4,pbcC3,"1, 7"
4,pbcS1,"1, 7"
4,pbcS2,"1, 7"
4,pbcS3,"1, 7"
4,ene_pat1,"0.6, 1.6"
4,ene_pat2,"0.6, 1.6"
4,ene_pat3,"0.6, 1.6"
4,erI1,"-0.03, -0.01"
4,erI2,"-0.02, 0"
4,erI3,"-0.05, -0.02"
4,erC1,"-0.05, -0.02"
4,erC2,"-0.06, -0.03"
4,erC3,"-0.04, -0.01"
4,erS1,"-0.01, -0.01"
4,erS2,"-0.02, -0.01"
4,erS3,"-0.01, -0.01"
5,income,"70001, 90000"
5,gas,"0, 5000"
5,know,"3, 5.66"
5,cee_aw,"3.14, 6.42"
5,ed_aw,"2, 7"
5,pn1,"3.5, 6.25"
5,pn2,"3.5, 6.25"
5,pn3,"3.5, 6.25"
5,sn1,"1, 5.8"
5,sn2,"1, 5.8"
5,sn3,"1, 5.8"
5,pbcI1,"2.2, 7"
5,pbcI2,"2.2, 7"
5,pbcI3,"2.2, 7"
5,pbcC1,"1, 6.5"
5,pbcC2,"1, 6.5"
5,pbcC3,"1, 6.5"
5,pbcS1,"1, 7"
5,pbcS2,"1, 7"
5,pbcS3,"1, 7"
5,ene_pat1,"0.7, 1.6"
5,ene_pat2,"0.7, 1.6"
5,ene_pat3,"0.7, 1.6"
5,erI1,"-0.03, -0.01"
5,erI2,"-0.02, 0"
5,erI3,"-0.04, -0.02"
5,erC1,"-0.04, -0.03"
5,erC2,"-0.06, -0.03"
5,erC3,"-0.03, -0.01"
5,erS1,"-0.01, -0.01"
5,erS2,"-0.02, -0.01"
5,erS3,"-0.01, -0.01"
6,income,"90001, 110000"
6,gas,"0, 3000"
6,know,"3.1, 4.66"
6,cee_aw,"2.72, 5.57"
6,ed_aw,"3.66, 6.33"
6,pn1,"3.62, 5.75"
6,pn2,"3.62, 5.75"
6,pn3,"3.62, 5.75"
6,sn1,"2, 3.83"
6,sn2,"2, 3.83"
6,sn3,"2, 3.83"
6,pbcI1,"2.4, 6.4"
6,pbcI2,"2.4, 6.4"
6,pbcI3,"2.4, 6.4"
6,pbcC1,"1, 5.6"
6,pbcC2,"1, 5.6"
6,pbcC3,"1, 5.6"
6,pbcS1,"1.5, 5.5"
6,pbcS2,"1.5, 5.5"
6,pbcS3,"1.5, 5.5"
6,ene_pat1,"0.78, 1.82"
6,ene_pat2,"0.78, 1.82"
6,ene_pat3,"0.78, 1.82"
6,erI1,"-0.03, -0.01"
6,erI2,"-0.02, 0"
6,erI3,"-0.04, -0.02"
6,erC1,"-0.04, -0.03"
6,erC2,"-0.06, -0.03"
6,erC3,"-0.03, -0.01"
6,erS1,"-0.01, -0.01"
6,erS2,"-0.02, -0.01"
6,erS3,"-0.01, -0.01"
7,income,"110001, 150000"
7,gas,"0, 3000"
7,know,"3.33, 5.33"
