Variable,Value
gender,0
gender_cat,0
age,0
age_cat,0
income,0
kn_aw,0
sn,0
pn,0
pbc,0
kn_aw_ch,0
sn_ch,0
pn_ch,0
pbc_ch,0
freq_work,0
freq_leisure,0
freq_services,0
car_work_prob,0
bike_work_prob,0
walk_work_prob,0
pt_work_prob,0
mode_work,0
car_leisure_prob,0
bike_leisure_prob,0
walk_leisure_prob,0
pt_leisure_prob,0
mode_leisure,0
car_services_prob,0
bike_services_prob,0
walk_services_prob,0
pt_services_prob,0
mode_services,0
duration_work,0
duration_leisure,0
duration_services,0
cluster,0
peers,0
neighbour,0
district,0
subdistrict,0
guilt,Null
mot,Null
cons,Null
U,0
raw_prob,0
prob,0
shift_mode,0
shift_dest,[]
shift_to,[]
