Population by district in 2024,
https://www.citypopulation.de/en/austria/wiencity/,
Estimated,
district,population
Innere Stadt - 1010 Wien,16538
Leopoldstadt - 1020 Wien,110100
Landstraße - 1030 Wien,98398
Wieden - 1040 Wien,33155
Margareten - 1050 Wien,54400
Mariahilf - 1060 Wien,31386
Neubau - 1070 Wien,31513
Josefstadt - 1080 Wien,24499
Alsergrund - 1090 Wien,41631
Favoriten - 1100 Wien,220324
Simmering - 1110 Wien,110559
Meidling - 1120 Wien,101714
Hietzing - 1130 Wien,55505
Penzing - 1140 Wien,98161
Rudolfsheim-Fünfhaus - 1150 Wien,76381
Ottakring - 1160 Wien,102770
Hernals - 1170 Wien,56671
Währing - 1180 Wien,51395
Döbling - 1190 Wien,75400
Brigittenau - 1200 Wien,86930
Floridsdorf - 1210 Wien,186233
Donaustadt - 1220 Wien,220794
Liesing - 1230 Wien,121303
