BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,bikelane,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883
2,bikelane,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494
3,bikelane,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355
4,bikelane,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435
5,bikelane,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872
6,bikelane,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938
7,bikelane,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218
8,bikelane,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812
9,bikelane,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907
10,bikelane,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909
