BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,bikelane,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883
2,bikelane,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.393685547,4.608878601,4.824071654,5.039264708,5.254457761,5.469650815,5.684843868,5.900036922,6.115229975,6.330423028,6.545616082,6.760809135,6.976002189,7.191195242,7.406388296,7.621581349,7.836774402,8.051967456,8.267160509,8.482353563,8.697546616,8.91273967,9.127932723,9.343125777,9.55831883
3,bikelane,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,4.117114214,4.343831073,4.570547932,4.797264791,5.02398165,5.250698509,5.477415368,5.704132227,5.930849086,6.157565945,6.384282804,6.610999663,6.837716522,7.064433381,7.29115024,7.517867099,7.744583958,7.971300817,8.198017676,8.424734535,8.651451394,8.878168253,9.104885112,9.331601971,9.55831883
4,bikelane,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.194998451,5.376803467,5.558608482,5.740413498,5.922218514,6.10402353,6.285828546,6.467633561,6.649438577,6.831243593,7.013048609,7.194853625,7.37665864,7.558463656,7.740268672,7.922073688,8.103878704,8.285683719,8.467488735,8.649293751,8.831098767,9.012903783,9.194708798,9.376513814,9.55831883
5,bikelane,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.88865103,6.999887189,7.111123347,7.222359505,7.333595664,7.444831822,7.55606798,7.667304139,7.778540297,7.889776455,8.001012614,8.112248772,8.22348493,8.334721088,8.445957247,8.557193405,8.668429563,8.779665722,8.89090188,9.002138038,9.113374197,9.224610355,9.335846513,9.447082672,9.55831883
6,bikelane,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.559630294,6.684575649,6.809521005,6.934466361,7.059411716,7.184357072,7.309302428,7.434247783,7.559193139,7.684138495,7.80908385,7.934029206,8.058974562,8.183919918,8.308865273,8.433810629,8.558755985,8.68370134,8.808646696,8.933592052,9.058537407,9.183482763,9.308428119,9.433373474,9.55831883
7,bikelane,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.769717602,5.927575987,6.085434371,6.243292756,6.40115114,6.559009525,6.716867909,6.874726294,7.032584678,7.190443063,7.348301447,7.506159832,7.664018216,7.821876601,7.979734985,8.13759337,8.295451754,8.453310139,8.611168523,8.769026908,8.926885292,9.084743677,9.242602061,9.400460446,9.55831883
8,bikelane,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.352174813,5.527430813,5.702686814,5.877942815,6.053198816,6.228454816,6.403710817,6.578966818,6.754222818,6.929478819,7.10473482,7.279990821,7.455246821,7.630502822,7.805758823,7.981014824,8.156270824,8.331526825,8.506782826,8.682038826,8.857294827,9.032550828,9.207806829,9.383062829,9.55831883
9,bikelane,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.867744504,5.063185101,5.258625698,5.454066295,5.649506892,5.844947489,6.040388085,6.235828682,6.431269279,6.626709876,6.822150473,7.01759107,7.213031667,7.408472264,7.603912861,7.799353458,7.994794055,8.190234652,8.385675248,8.581115845,8.776556442,8.971997039,9.167437636,9.362878233,9.55831883
10,bikelane,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.780453306,4.021197703,4.2619421,4.502686496,4.743430893,4.98417529,5.224919687,5.465664084,5.706408481,5.947152877,6.187897274,6.428641671,6.669386068,6.910130465,7.150874862,7.391619258,7.632363655,7.873108052,8.113852449,8.354596846,8.595341243,8.836085639,9.076830036,9.317574433,9.55831883
11,bikelane,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.882679603,3.160831238,3.438982872,3.717134507,3.995286141,4.273437776,4.55158941,4.829741045,5.107892679,5.386044313,5.664195948,5.942347582,6.220499217,6.498650851,6.776802486,7.05495412,7.333105754,7.611257389,7.889409023,8.167560658,8.445712292,8.723863927,9.002015561,9.280167196,9.55831883
12,bikelane,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.707968494,4.910066424,5.112164355,5.314262286,5.516360216,5.718458147,5.920556078,6.122654008,6.324751939,6.52684987,6.7289478,6.931045731,7.133143662,7.335241593,7.537339523,7.739437454,7.941535385,8.143633315,8.345731246,8.547829177,8.749927107,8.952025038,9.154122969,9.356220899,9.55831883
13,bikelane,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.459316511,1.796774941,2.134233371,2.471691801,2.809150231,3.146608661,3.484067091,3.821525521,4.158983951,4.496442381,4.833900811,5.171359241,5.50881767,5.8462761,6.18373453,6.52119296,6.85865139,7.19610982,7.53356825,7.87102668,8.20848511,8.54594354,8.88340197,9.2208604,9.55831883
14,bikelane,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.818182324,2.140688012,2.463193699,2.785699387,3.108205075,3.430710763,3.75321645,4.075722138,4.398227826,4.720733514,5.043239201,5.365744889,5.688250577,6.010756265,6.333261952,6.65576764,6.978273328,7.300779016,7.623284703,7.945790391,8.268296079,8.590801767,8.913307454,9.235813142,9.55831883
15,bikelane,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,4.063537307,4.292486537,4.521435767,4.750384997,4.979334228,5.208283458,5.437232688,5.666181918,5.895131148,6.124080378,6.353029608,6.581978838,6.810928069,7.039877299,7.268826529,7.497775759,7.726724989,7.955674219,8.184623449,8.413572679,8.64252191,8.87147114,9.10042037,9.3293696,9.55831883
16,bikelane,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.357130056,2.657179588,2.957229121,3.257278653,3.557328185,3.857377717,4.15742725,4.457476782,4.757526314,5.057575846,5.357625379,5.657674911,5.957724443,6.257773975,6.557823508,6.85787304,7.157922572,7.457972104,7.758021637,8.058071169,8.358120701,8.658170233,8.958219766,9.258269298,9.55831883
