BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,bikelane,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883,9.55831883
2,bikelane,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.178492494,4.332201818,4.485911142,4.639620466,4.79332979,4.947039113,5.100748437,5.254457761,5.408167085,5.561876409,5.715585733,5.869295057,6.023004381,6.176713705,6.330423028,6.484132352,6.637841676,6.791551,6.945260324,7.098969648,7.252678972,7.406388296,7.560097619,7.713806943,7.867516267,8.021225591,8.174934915,8.328644239,8.482353563,8.636062887,8.789772211,8.943481534,9.097190858,9.250900182,9.404609506,9.55831883
3,bikelane,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,3.890397355,4.052337969,4.214278582,4.376219196,4.538159809,4.700100423,4.862041036,5.02398165,5.185922264,5.347862877,5.509803491,5.671744104,5.833684718,5.995625331,6.157565945,6.319506559,6.481447172,6.643387786,6.805328399,6.967269013,7.129209626,7.29115024,7.453090854,7.615031467,7.776972081,7.938912694,8.100853308,8.262793921,8.424734535,8.586675149,8.748615762,8.910556376,9.072496989,9.234437603,9.396378216,9.55831883
4,bikelane,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.013193435,5.143054161,5.272914886,5.402775612,5.532636337,5.662497063,5.792357788,5.922218514,6.05207924,6.181939965,6.311800691,6.441661416,6.571522142,6.701382867,6.831243593,6.961104319,7.090965044,7.22082577,7.350686495,7.480547221,7.610407946,7.740268672,7.870129398,7.999990123,8.129850849,8.259711574,8.3895723,8.519433025,8.649293751,8.779154477,8.909015202,9.038875928,9.168736653,9.298597379,9.428458104,9.55831883
5,bikelane,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.777414872,6.856869271,6.93632367,7.015778068,7.095232467,7.174686866,7.254141265,7.333595664,7.413050062,7.492504461,7.57195886,7.651413259,7.730867658,7.810322056,7.889776455,7.969230854,8.048685253,8.128139652,8.20759405,8.287048449,8.366502848,8.445957247,8.525411646,8.604866044,8.684320443,8.763774842,8.843229241,8.92268364,9.002138038,9.081592437,9.161046836,9.240501235,9.319955634,9.399410032,9.478864431,9.55831883
6,bikelane,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.434684938,6.523931621,6.613178303,6.702424986,6.791671669,6.880918351,6.970165034,7.059411716,7.148658399,7.237905082,7.327151764,7.416398447,7.50564513,7.594891812,7.684138495,7.773385177,7.86263186,7.951878543,8.041125225,8.130371908,8.219618591,8.308865273,8.398111956,8.487358638,8.576605321,8.665852004,8.755098686,8.844345369,8.933592052,9.022838734,9.112085417,9.201332099,9.290578782,9.379825465,9.469072147,9.55831883
7,bikelane,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.611859218,5.724615207,5.837371196,5.950127185,6.062883174,6.175639163,6.288395151,6.40115114,6.513907129,6.626663118,6.739419107,6.852175096,6.964931085,7.077687074,7.190443063,7.303199052,7.415955041,7.52871103,7.641467018,7.754223007,7.866978996,7.979734985,8.092490974,8.205246963,8.318002952,8.430758941,8.54351493,8.656270919,8.769026908,8.881782897,8.994538885,9.107294874,9.220050863,9.332806852,9.445562841,9.55831883
8,bikelane,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.176918812,5.30210167,5.427284527,5.552467385,5.677650243,5.8028331,5.928015958,6.053198816,6.178381673,6.303564531,6.428747389,6.553930246,6.679113104,6.804295962,6.929478819,7.054661677,7.179844535,7.305027392,7.43021025,7.555393107,7.680575965,7.805758823,7.93094168,8.056124538,8.181307396,8.306490253,8.431673111,8.556855969,8.682038826,8.807221684,8.932404542,9.057587399,9.182770257,9.307953115,9.433135972,9.55831883
9,bikelane,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.672303907,4.811904333,4.95150476,5.091105186,5.230705612,5.370306039,5.509906465,5.649506892,5.789107318,5.928707744,6.068308171,6.207908597,6.347509023,6.48710945,6.626709876,6.766310303,6.905910729,7.045511155,7.185111582,7.324712008,7.464312434,7.603912861,7.743513287,7.883113714,8.02271414,8.162314566,8.301914993,8.441515419,8.581115845,8.720716272,8.860316698,8.999917125,9.139517551,9.279117977,9.418718404,9.55831883
10,bikelane,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.539708909,3.711669192,3.883629476,4.055589759,4.227550043,4.399510326,4.57147061,4.743430893,4.915391177,5.08735146,5.259311744,5.431272027,5.60323231,5.775192594,5.947152877,6.119113161,6.291073444,6.463033728,6.634994011,6.806954295,6.978914578,7.150874862,7.322835145,7.494795429,7.666755712,7.838715995,8.010676279,8.182636562,8.354596846,8.526557129,8.698517413,8.870477696,9.04243798,9.214398263,9.386358547,9.55831883
