subdistrict,district,pedestz,ban_year
1004,10,0.129462312,2027
101,1,0.105831723,2027
107,1,0.092441285,2028
106,1,0.068102925,2029
104,1,0.05621026,2030
1205,12,0.043412617,2031
1022,10,0.032610166,2032
201,2,0.032059377,2032
503,5,0.031742112,2032
1501,15,0.031648073,2032
1601,16,0.030172737,2032
601,6,0.028210532,2033
701,7,0.027845428,2033
1502,15,0.025738609,2033
902,9,0.02316215,2033
1604,16,0.020136688,2033
2003,20,0.019622309,2034
603,6,0.019363501,2034
403,4,0.018786988,2034
702,7,0.018593766,2034
1309,13,0.018465142,2034
1107,11,0.017793941,2034
802,8,0.017375625,2034
207,2,0.017090139,2034
705,7,0.017082068,2034
703,7,0.016996545,2034
1001,10,0.014492,2034
2005,20,0.014147804,2034
1204,12,0.013873545,2034
501,5,0.013640777,2034
1507,15,0.013212854,2034
309,3,0.012917416,2034
1202,12,0.012917269,2034
602,6,0.01286443,2034
904,9,0.012006484,2034
2004,20,0.01084015,2034
502,5,0.010691337,2034
901,9,0.010184525,2034
103,1,0.009743289,2035
1802,18,0.009600204,2035
105,1,0.008923977,2035
1605,16,0.008060529,2035
2007,20,0.007701784,2035
102,1,0.00719399,2035
1904,19,0.006955075,2035
301,3,0.006839751,2035
803,8,0.006779377,2035
2122,21,0.006740262,2035
504,5,0.006653851,2035
1306,13,0.005815711,2035
1210,12,0.005808415,2035
1402,14,0.005760289,2035
1608,16,0.005744308,2035
2214,22,0.005709037,2035
1506,15,0.005633309,2035
401,4,0.005610751,2035
1606,16,0.005320461,2035
203,2,0.00514997,2035
1006,10,0.005034966,2035
