subdistrict,district,pedestz,ban_year
1004,10,0.129462312,2027
101,1,0.105831723,2027
1205,12,0.043412617,2028
201,2,0.032059377,2029
503,5,0.031742112,2029
1501,15,0.031648073,2029
1601,16,0.030172737,2029
601,6,0.028210532,2030
701,7,0.027845428,2030
902,9,0.02316215,2030
2003,20,0.019622309,2031
403,4,0.018786988,2031
1309,13,0.018465142,2031
1107,11,0.017793941,2031
802,8,0.017375625,2031
309,3,0.012917416,2031
1802,18,0.009600204,2035
1904,19,0.006955075,2035
2122,21,0.006740262,2035
1402,14,0.005760289,2035
2214,22,0.005709037,2035
1701,17,0.004203934,2035
2310,23,0.003358532,2035
