Quarters,Knowledge,Motivation,Consideration,Action,Habit,Label
1,240,211,90,30,0,"Informative-all, Gradual, Not-Implemented"
2,240,211,89,31,0,"Informative-all, Gradual, Not-Implemented"
3,240,211,89,31,0,"Informative-all, Gradual, Not-Implemented"
4,240,211,89,31,0,"Informative-all, Gradual, Not-Implemented"
5,240,211,87,33,0,"Informative-all, Gradual, Not-Implemented"
6,240,211,87,33,0,"Informative-all, Gradual, Not-Implemented"
7,240,211,85,35,0,"Informative-all, Gradual, Not-Implemented"
8,240,211,85,35,0,"Informative-all, Gradual, Not-Implemented"
9,240,211,85,35,0,"Informative-all, Gradual, Not-Implemented"
10,240,211,84,36,0,"Informative-all, Gradual, Not-Implemented"
11,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
12,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
13,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
14,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
15,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
16,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
17,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
18,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
19,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
20,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
21,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
22,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
23,240,211,83,37,0,"Informative-all, Gradual, Not-Implemented"
24,240,211,82,38,0,"Informative-all, Gradual, Not-Implemented"
25,240,211,81,39,0,"Informative-all, Gradual, Not-Implemented"
26,240,211,81,39,0,"Informative-all, Gradual, Not-Implemented"
27,240,211,80,40,0,"Informative-all, Gradual, Not-Implemented"
28,240,211,80,40,0,"Informative-all, Gradual, Not-Implemented"
29,240,211,80,40,0,"Informative-all, Gradual, Not-Implemented"
30,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
31,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
32,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
