Quarters,NonUsers,Users,FrequentUsers,Label
1,470,30,0,"Informative-all, Gradual, Not-Implemented"
2,469,31,0,"Informative-all, Gradual, Not-Implemented"
3,469,31,0,"Informative-all, Gradual, Not-Implemented"
4,469,31,0,"Informative-all, Gradual, Not-Implemented"
5,467,33,0,"Informative-all, Gradual, Not-Implemented"
6,467,33,0,"Informative-all, Gradual, Not-Implemented"
7,465,35,0,"Informative-all, Gradual, Not-Implemented"
8,465,35,0,"Informative-all, Gradual, Not-Implemented"
9,465,35,0,"Informative-all, Gradual, Not-Implemented"
10,464,36,0,"Informative-all, Gradual, Not-Implemented"
11,463,37,0,"Informative-all, Gradual, Not-Implemented"
12,463,37,0,"Informative-all, Gradual, Not-Implemented"
13,463,37,0,"Informative-all, Gradual, Not-Implemented"
14,463,37,0,"Informative-all, Gradual, Not-Implemented"
15,463,37,0,"Informative-all, Gradual, Not-Implemented"
16,463,37,0,"Informative-all, Gradual, Not-Implemented"
17,463,37,0,"Informative-all, Gradual, Not-Implemented"
18,463,37,0,"Informative-all, Gradual, Not-Implemented"
19,463,37,0,"Informative-all, Gradual, Not-Implemented"
20,463,37,0,"Informative-all, Gradual, Not-Implemented"
21,463,37,0,"Informative-all, Gradual, Not-Implemented"
22,463,37,0,"Informative-all, Gradual, Not-Implemented"
23,463,37,0,"Informative-all, Gradual, Not-Implemented"
24,462,38,0,"Informative-all, Gradual, Not-Implemented"
25,461,39,0,"Informative-all, Gradual, Not-Implemented"
26,461,39,0,"Informative-all, Gradual, Not-Implemented"
27,460,40,0,"Informative-all, Gradual, Not-Implemented"
28,460,40,0,"Informative-all, Gradual, Not-Implemented"
29,460,40,0,"Informative-all, Gradual, Not-Implemented"
30,459,41,0,"Informative-all, Gradual, Not-Implemented"
31,459,41,0,"Informative-all, Gradual, Not-Implemented"
32,459,41,0,"Informative-all, Gradual, Not-Implemented"
33,459,41,0,"Informative-all, Gradual, Not-Implemented"
34,459,41,0,"Informative-all, Gradual, Not-Implemented"
35,459,41,0,"Informative-all, Gradual, Not-Implemented"
36,459,41,0,"Informative-all, Gradual, Not-Implemented"
37,459,41,0,"Informative-all, Gradual, Not-Implemented"
38,459,41,0,"Informative-all, Gradual, Not-Implemented"
39,459,41,0,"Informative-all, Gradual, Not-Implemented"
40,459,41,0,"Informative-all, Gradual, Not-Implemented"
41,459,41,0,"Informative-all, Gradual, Not-Implemented"
42,459,41,0,"Informative-all, Gradual, Not-Implemented"
43,459,41,0,"Informative-all, Gradual, Not-Implemented"
44,458,42,0,"Informative-all, Gradual, Not-Implemented"
45,458,42,0,"Informative-all, Gradual, Not-Implemented"
46,458,42,0,"Informative-all, Gradual, Not-Implemented"
47,458,42,0,"Informative-all, Gradual, Not-Implemented"
48,458,42,0,"Informative-all, Gradual, Not-Implemented"
49,458,42,0,"Informative-all, Gradual, Not-Implemented"
50,458,42,0,"Informative-all, Gradual, Not-Implemented"
51,457,43,0,"Informative-all, Gradual, Not-Implemented"
52,457,43,0,"Informative-all, Gradual, Not-Implemented"
53,457,43,0,"Informative-all, Gradual, Not-Implemented"
54,457,43,0,"Informative-all, Gradual, Not-Implemented"
55,457,43,0,"Informative-all, Gradual, Not-Implemented"
56,457,43,0,"Informative-all, Gradual, Not-Implemented"
57,457,43,0,"Informative-all, Gradual, Not-Implemented"
58,457,43,0,"Informative-all, Gradual, Not-Implemented"
59,457,43,0,"Informative-all, Gradual, Not-Implemented"
60,457,43,0,"Informative-all, Gradual, Not-Implemented"
61,457,43,0,"Informative-all, Gradual, Not-Implemented"
62,457,43,0,"Informative-all, Gradual, Not-Implemented"
63,457,43,0,"Informative-all, Gradual, Not-Implemented"
64,457,43,0,"Informative-all, Gradual, Not-Implemented"
65,457,43,0,"Informative-all, Gradual, Not-Implemented"
66,457,43,0,"Informative-all, Gradual, Not-Implemented"
67,457,43,0,"Informative-all, Gradual, Not-Implemented"
68,457,43,0,"Informative-all, Gradual, Not-Implemented"
69,457,43,0,"Informative-all, Gradual, Not-Implemented"
70,457,43,0,"Informative-all, Gradual, Not-Implemented"
71,457,43,0,"Informative-all, Gradual, Not-Implemented"
72,457,43,0,"Informative-all, Gradual, Not-Implemented"
73,457,43,0,"Informative-all, Gradual, Not-Implemented"
74,456,44,0,"Informative-all, Gradual, Not-Implemented"
75,456,44,0,"Informative-all, Gradual, Not-Implemented"
76,456,44,0,"Informative-all, Gradual, Not-Implemented"
77,456,44,0,"Informative-all, Gradual, Not-Implemented"
78,456,44,0,"Informative-all, Gradual, Not-Implemented"
79,456,44,0,"Informative-all, Gradual, Not-Implemented"
80,456,44,0,"Informative-all, Gradual, Not-Implemented"
81,456,44,0,"Informative-all, Gradual, Not-Implemented"
82,456,44,0,"Informative-all, Gradual, Not-Implemented"
83,456,44,0,"Informative-all, Gradual, Not-Implemented"
84,456,44,0,"Informative-all, Gradual, Not-Implemented"
85,456,44,0,"Informative-all, Gradual, Not-Implemented"
86,456,44,0,"Informative-all, Gradual, Not-Implemented"
87,455,45,0,"Informative-all, Gradual, Not-Implemented"
88,455,45,0,"Informative-all, Gradual, Not-Implemented"
89,455,45,0,"Informative-all, Gradual, Not-Implemented"
90,455,45,0,"Informative-all, Gradual, Not-Implemented"
91,455,45,0,"Informative-all, Gradual, Not-Implemented"
92,455,45,0,"Informative-all, Gradual, Not-Implemented"
93,455,45,0,"Informative-all, Gradual, Not-Implemented"
94,455,45,0,"Informative-all, Gradual, Not-Implemented"
95,454,46,0,"Informative-all, Gradual, Not-Implemented"
