Variable,Value
sdgroup,0
h_sta,
invest1,0
invest2,0
ene_prov,0
income,0
gen,0
edu,0
ecom,0
age,0
dw_st,0
dw_elab,0
dw_type,0
dw_age,0
dw_size,0
elec,0
gas,0
ene_pat1,0
ene_pat2,0
ene_pat3,0
know,0
cee_aw,0
ed_aw,0
guilt,Null
aware,0
pn1,0
pn2,0
pn3,0
sn1,0
sn2,0
sn3,0
m1_st,Null
m2_st,Null
m3_st,Null
pbcI1,0
pbcI2,0
pbcI3,0
pbcC1,0
pbcC2,0
pbcC3,0
pbcS1,0
pbcS2,0
pbcS3,0
cI1_st,Null
cI2_st,Null
cI3_st,Null
cC1_st,Null
cC2_st,Null
cC3_st,Null
cS1_st,Null
cS2_st,Null
cS3_st,Null
U1,0
U2,0
U3,0
act1,0
act2,0
act3,0
