Group,Variables,1,2,3,4,5
1,gen,0.667,0.333,0,0,0
1,age,0.018,0.333,0.438,0.211,0
1,ecom,0.439,0.21,0.351,0,0
1,edu,0.579,0.246,0.175,0,0
1,dw_st,0.49,0.51,0,0,0
1,dw_type,0.281,0.719,0,0,0
1,dw_age,0.14,0.492,0.368,0,0
1,dw_size,0.471,0.336,0.193,0,0
1,dw_elab,0.25,0.094,0.062,0.031,0.563
1,ene_prov,0.7543,0.2457,0,0,0
2,gen,0.546,0.454,0,0,0
2,age,0,0.184,0.39,0.426,0
2,ecom,0.189,0.226,0.585,0,0
2,edu,0.721,0.125,0.154,0,0
2,dw_st,0.52,0.48,0,0,0
2,dw_type,0.212,0.788,0,0,0
2,dw_age,0.086,0.34,0.574,0,0
2,dw_size,0.543,0.293,0.164,0,0
2,dw_elab,0.085,0.141,0.124,0.04,0.61
2,ene_prov,0.5767,0.4233,0,0,0
3,gen,0.397,0.603,0,0,0
3,age,0,0.196,0.448,0.356,0
3,ecom,0.074,0.229,0.697,0,0
3,edu,0.499,0.249,0.252,0,0
3,dw_st,0.8,0.2,0,0,0
3,dw_type,0.873,0.127,0,0,0
3,dw_age,0.112,0.417,0.471,0,0
3,dw_size,0.369,0.407,0.224,0,0
3,dw_elab,0.164,0.17,0.099,0.04,0.527
3,ene_prov,0.6387,0.3613,0,0,0
4,gen,0.371,0.629,0,0,0
4,age,0,0.264,0.529,0.207,0
4,ecom,0.029,0.414,0.557,0,0
4,edu,0.572,0.221,0.207,0,0
4,dw_st,0.92,0.08,0,0,0
4,dw_type,0.051,0.949,0,0,0
4,dw_age,0.2,0.514,0.286,0,0
4,dw_size,0.236,0.378,0.386,0,0
4,dw_elab,0.229,0.2,0.171,0.071,0.329
4,ene_prov,0.5357,0.4643,0,0,0
5,gen,0.39,0.61,0,0,0
5,age,0,0.254,0.593,0.153,0
5,ecom,0,0.222,0.778,0,0
5,edu,0.572,0.221,0.207,0,0
5,dw_st,0.92,0.08,0,0,0
5,dw_type,0.068,0.932,0,0,0
5,dw_age,0.102,0.858,0.04,0,0
5,dw_size,0.153,0.387,0.46,0,0
5,dw_elab,0.259,0.148,0.111,0.037,0.445
5,ene_prov,0.5593,0.4407,0,0,0
6,gen,0.5,0.5,0,0,0
6,age,0,0.4,0.5,0.1,0
6,ecom,0,0.333,0.667,0,0
6,edu,0.1,0.1,0.8,0,0
6,dw_st,0.2,0.8,0,0,0
6,dw_type,0,1,0,0,0
6,dw_age,0.4,0.2,0.4,0,0
6,dw_size,0.14,0.57,0.29,0,0
6,dw_elab,0,0,0,0,1
6,ene_prov,0.8,0.2,0,0,0
7,gen,0.371,0.629,0,0,0
7,age,0,0.059,0.647,0.294,0
7,ecom,0.029,0.414,0.557,0,0
7,edu,0.294,0.353,0.353,0,0
7,dw_st,0.8,0.2,0,0,0
7,dw_type,0.057,0.943,0,0,0
7,dw_age,0.2,0.514,0.286,0,0
7,dw_size,0.236,0.378,0.386,0,0
7,dw_elab,0.2,0.3,0.2,0.2,0.1
7,ene_prov,0.7059,0.2941,0,0,0
